id,provenance,query_raw,actual_status,audit_outcome,errors
rq001,CURATED_ENKI,"me quieren cobrar 35 lucas por soporte remoto, está bien?",CLARIFICATION_REQUIRED,CLARIFICATION_CORRECT,
rq002,CURATED_ENKI,"me pasaron 48 mil por soporte remoto, es caro?",CLARIFICATION_REQUIRED,CLARIFICATION_CORRECT,
rq003,CURATED_ENKI,"quiero cobrar 30 lucas la hora de soporte remoto, me quedo corto?",RANGE_READY,PARSE_CORRECT,
rq004,CURATED_ENKI,"60 lucas por soporte remoto me parece una banda, está bien ese precio?",CLARIFICATION_REQUIRED,CLARIFICATION_CORRECT,
rq005,CURATED_ENKI,"me presupuestaron 55 mil para formatear la notebook en Córdoba, está bien?",INSUFFICIENT_EVIDENCE,PARSE_CORRECT,
rq006,CURATED_ENKI,"quiero cobrar 50 lucas por formatear una pc en Córdoba, es razonable?",INSUFFICIENT_EVIDENCE,PARSE_CORRECT,
rq007,CURATED_ENKI,cuanto se esta cobrando un formateo en Córdoba?,INSUFFICIENT_EVIDENCE,PARSE_CORRECT,
rq008,CURATED_ENKI,cuánto debería cobrar por soporte remoto?,CLARIFICATION_REQUIRED,CLARIFICATION_CORRECT,
rq009,CURATED_ENKI,cuanto están cobrando por limpiar una notebook y cambiar pasta térmica en CABA?,INSUFFICIENT_EVIDENCE,PARSE_CORRECT,
rq010,CURATED_ENKI,cuánto se cobra una visita técnica a domicilio en Buenos Aires?,CLARIFICATION_REQUIRED,CLARIFICATION_CORRECT,
rq011,CURATED_ENKI,cuánto se está cobrando por instalar Windows en Rosario?,INSUFFICIENT_EVIDENCE,WRONG_INTERPRETATION,"expected NO_EVIDENCE, got INSUFFICIENT_EVIDENCE"
rq012,CURATED_ENKI,cuánto cobrar por hacer una landing page?,INSUFFICIENT_EVIDENCE,PARSE_CORRECT,
rq013,CURATED_ENKI,"hice backup de 70gb, cambié el disco, instalé windows y después llevé la pc a la casa del cliente, cuanto le cobro?",CLARIFICATION_REQUIRED,WRONG_INTERPRETATION,"expected UNSUPPORTED_QUERY, got CLARIFICATION_REQUIRED"
rq014,CURATED_ENKI,"me cobran 110 lucas por formateo, backup e instalación de office en Córdoba, está bien?",UNSUPPORTED_QUERY,SAFE_UNSUPPORTED,
